feature,importance
mat_1,0.02768417716074336
1 - Mediano,0.02717856747123563
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.024973996508085135
PC3,0.02101209463920727
leng_5,0.020834311273319254
Identificar datos de un texto relacionando información explícita.,0.020694846434052814
0 - Mediano,0.020161127376576986
Inferir características de personajes principales en narraciones.,0.020010809110427033
Identificar el orden de los acontecimientos en narraciones.,0.01958341325902206
Distinguir el sentimiento que predomina en un poema.,0.019434625251740077
mat_2,0.019272274294745265
PC4,0.01860580495097379
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.01853552585841177
leng_1,0.01806512626260907
1 - Fácil,0.017301940454568038
leng_8,0.015843064438295286
mat_4,0.015601385877346363
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.01546236197117205
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.015198556611991093
Inferir el significado de palabras a partir de claves contextuales.,0.01494840435764787
Inferir el propósito comunicativo de un texto no literario.,0.0146317779407757
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.014030690537428142
leng_10,0.01402419013693077
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.013743808102747505
* Distinguir el tema central de diversos textos o de parte de estos.,0.013645864853571952
Aplicar,0.013588446368090977
Reconocer la función de un conector en diversos textos.,0.013587735770329968
Atribuir el propósito comunicativo de textos no literarios.,0.01324191820135028
0 - Fácil,0.012622212184758055
leng_11,0.012474940235228053
leng_12,0.012474940235227517
Evaluar,0.012307496729290256
mat_5,0.011895427764825451
mat_8,0.011828889524075351
mat_10,0.011760315122525953
Inferir la moraleja de una fábula.,0.011665920675176978
0 - Difícil,0.011295926821138717
leng_7,0.01115373008222015
Inferir características de personajes en narraciones.,0.011031036371999463
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.010928430559607256
Reconocer la función de sustantivos en diversos textos.,0.010703032825228725
leng_4,0.010606338016733321
Inferir relaciones que permiten comprender el sentido global del texto.,0.01021898560543551
PC6,0.010061018438508998
Identificar hechos en textos no literarios.,0.010018700527665486
Conocer,0.009646032861752406
Identificar información explícita (datos) en textos no literarios.,0.009472036943865442
student_id,0.00914384752211349
1 - Difícil,0.009051126807380521
leng_3,0.00895412405586907
Analizar,0.008805413914183184
Identificar información explícita (hechos) en textos no literarios.,0.008766704471047077
PC2,0.008412895415818212
* Distinguir el tema central de diversos textos.,0.008160218939305764
Inferir función de conectores en una oración.,0.007968037008588858
Distinguir la idea principal de párrafos de diversos textos.,0.00784661766696477
mat_7,0.007622524276486928
Distinguir el tema central de un texto literario.,0.007555277240656988
leng_6,0.0074305944877514065
Crear,0.0074219036278616686
Reconocer tipos de textos no literarios.,0.007407409280925833
leng_2,0.007344871001180142
Distinguir el tema central de diversos textos.,0.006969342755696181
Comprender,0.006944233605833293
mat_11,0.006917762752838573
mat_12,0.0069177627528384895
Identificar información explícita en un texto literario.,0.006597878895740069
PC1,0.006575941273764881
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.006310708605830499
Inferir información (hechos) en textos no literarios.,0.006252968641747317
mat_3,0.006127540401581698
Inferir actitudes de los personajes en narraciones.,0.006087182904983484
Identificar informaciones en textos no literarios.,0.005968964636408099
Reconocer la función de ilustraciones en textos no literarios.,0.005916072617013768
Reconocer el destinatario en textos no literarios.,0.005874742223042514
Identificar acontecimientos en narraciones.,0.005783084585134852
PC8,0.005661590049366861
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.005502263313990379
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.005295918711916617
PC5,0.00513050205945121
Distinguir el tema central de diversos textos o de parte de estos.,0.0048782979007814
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.004549519690458124
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.0045156774661249
Reconocer diversos tipos de textos.,0.004413998485055941
leng_9,0.003794527630254144
Reconocer la función de un pronombre en diversos textos.,0.0035186994751864246
Reconocer tipos de textos literarios.,0.0034437898559200285
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.0032259748001907855
mat_9,0.0030233582382710776
PC7,0.002829657799049112
* Atribuir el propósito comunicativo de textos no literarios.,0.0027457572016739863
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.0025614283178148037
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.0025583511352990805
Distinguir la idea principal de diversos textos.,0.0019180489327672349
Reconocer la función de adjetivos en diversos textos.,0.00181186035239241
mat_6,0.0013623852261105379
Atribuir el propósito comunicativo de un texto no literario.,0.00127304192469402
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.000894420011243823
Reemplazar conectores según la función que cumplen.,0.0005196209220558799
Reconocer al emisor en textos no literarios.,0.00037330113268435437
* Inferir características de personajes en narraciones.,8.036175351451165e-17
"Inferir el significado de expresiones a partir del contexto, en diversos textos.",4.2868270832111145e-17
Identificar el par de figuras ubicadas en una cuadrícula que se relacionan mediante una transformación isométrica (traslación).,3.719914471336378e-17
* Identificar el orden de los acontecimientos en narraciones.,3.4558352177060463e-17
Inferir relaciones de causa y consecuencia en textos no literarios.,3.339513306787785e-17
"* Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",3.0942075755808884e-17
Establecer relaciones de correferencia textual.,3.0811612582526685e-17
* Reconocer tipos de textos literarios.,3.02640575945181e-17
Operar con información presentada en un pictograma sin escala.,2.873986600859142e-17
* Reconocer tipos de textos no literarios.,2.790004590248499e-17
"* Inferir información (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",2.7470575619492645e-17
Interpretar lenguaje figurado en un texto no literario.,2.6026481038612132e-17
Interpretar lenguaje figurado simple en poemas.,2.1175822085373164e-17
Inferir información del texto relacionando ideas explícitas.,2.0372543913526323e-17
"Identificar información como datos, hechos e ideas relevantes en diversos textos.",2.0215752322790982e-17
Identificar información explícita de un texto.,1.8809334268669683e-17
Interpretar lenguaje figurado en un texto literario.,1.8423440286778678e-17
Identificar las formas básicas propias del discurso expositivo.,1.67725794920538e-17
"* Identificar información explícita (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",1.5243944483416366e-17
Distinguir el tema central en un texto literario.,1.1400922338844212e-17
* Distinguir la idea principal de párrafos de diversos textos.,3.496913163852036e-18
Distinguir el tema central en un texto no literario.,2.2606629592329266e-18
Resolver un problema que requiere plantear y encontrar la solución de una ecuación de primer grado con una incógnita.,1.123799901403172e-31
Resolver un problema que requiere plantear y determinar la solución de un sistema de dos ecuaciones de primer grado con dos incógnitas.,1.0606740578490408e-31
Relacionar secuencia de pasos en textos instructivos.,4.421071234609707e-32
"Resolver un problema que requiere calcular la probabilidad de un evento, usando el modelo de Laplace.",3.8380482196933806e-32
Relacionar características del espacio narrativo con la acción y los personajes.,3.1268730152375123e-32
0 - Pendiente,1.8586017298569912e-32
