feature,importance
Identificar información explícita (hechos) en textos no literarios.,0.033449562667523934
Distinguir el tema central de diversos textos.,0.0326345759558437
Inferir la moraleja de una fábula.,0.027412853844412756
mat_5,0.026508614193327073
* Distinguir el tema central de diversos textos.,0.024443130709045035
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.02437784445700361
leng_4,0.024004143739848743
leng_5,0.023472996359282128
Reconocer diversos tipos de textos.,0.02253704977610608
Identificar información explícita (datos) en textos no literarios.,0.022373669134646074
leng_9,0.022209514102488347
Distinguir la idea principal de diversos textos.,0.021522542129999284
Inferir características de personajes en narraciones.,0.021464825427411852
student_id,0.017887957815046113
leng_6,0.016534269189729504
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.016369065784175078
mat_10,0.01629962917410387
* Distinguir el tema central de diversos textos o de parte de estos.,0.01616761416060058
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.01577360898013021
Distinguir la idea principal de párrafos de diversos textos.,0.015406694515540968
Reemplazar conectores según la función que cumplen.,0.015331195960784059
Distinguir el sentimiento que predomina en un poema.,0.015192014538630014
1 - Mediano,0.01513205515570782
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.014586547862995533
Inferir actitudes de los personajes en narraciones.,0.014108397590338044
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.013662792797334138
Reconocer el destinatario en textos no literarios.,0.013184098761435017
Atribuir el propósito comunicativo de un texto no literario.,0.012945044114022045
leng_10,0.012839316883003474
Reconocer la función de ilustraciones en textos no literarios.,0.012678597381491918
mat_2,0.012557271236572904
leng_3,0.01234708324311807
Distinguir el tema central de un texto literario.,0.011808893661026689
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.011763970511609538
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.011390879998317022
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.01117093508134895
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.011055064719129374
PC4,0.010435232379070793
1 - Difícil,0.010410170533006802
Identificar informaciones en textos no literarios.,0.010409784521656652
leng_1,0.010298982943269638
Distinguir el tema central de diversos textos o de parte de estos.,0.010287244607936905
leng_12,0.010172735754056401
leng_11,0.010172735754056203
leng_8,0.010138526711142752
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.010092546520346503
Inferir función de conectores en una oración.,0.010060750435863366
Inferir características de personajes principales en narraciones.,0.009843944264854992
Reconocer al emisor en textos no literarios.,0.009614569490614016
leng_7,0.009420775418407072
mat_3,0.009230808728225043
Inferir relaciones que permiten comprender el sentido global del texto.,0.00895676335731046
mat_1,0.008877983311994091
Crear,0.008686987578681114
Reconocer la función de un conector en diversos textos.,0.008502027622933268
PC3,0.008375098207836894
Identificar acontecimientos en narraciones.,0.007494671569950242
Reconocer la función de un pronombre en diversos textos.,0.0070341989221938545
Comprender,0.006842920309790974
Identificar el orden de los acontecimientos en narraciones.,0.006422880289156344
Conocer,0.00615096803196285
Identificar información explícita en un texto literario.,0.005894404634953454
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.005845917072974042
0 - Mediano,0.00563790660906594
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.005411384840473013
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.005200268888894185
mat_4,0.00506115227517
PC8,0.004983695401692838
Inferir el propósito comunicativo de un texto no literario.,0.004549276686804612
mat_7,0.004511083692185833
Reconocer la función de sustantivos en diversos textos.,0.00396351704827541
PC5,0.0039024225862067377
Reconocer tipos de textos no literarios.,0.0038476636484755375
mat_9,0.0038171598662606232
mat_6,0.0037250831755531477
Inferir información (hechos) en textos no literarios.,0.0035990992895768644
0 - Difícil,0.0034254110837676497
mat_11,0.0029809428765689757
mat_12,0.002980942876568901
