feature,importance
mat_1,0.04469607144664321
mat_8,0.0338117859898518
0 - Mediano,0.030064341329845725
mat_12,0.0262017748705842
mat_11,0.026201774870583946
0 - Difícil,0.0259603967803862
Reconocer la función de sustantivos en diversos textos.,0.025320298126778534
leng_9,0.023571267997574613
mat_3,0.022541298184540363
mat_5,0.021563550865486752
Evaluar,0.02041976524309131
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.020131997747554083
Inferir actitudes de los personajes en narraciones.,0.019853823393358793
mat_10,0.019485680333234275
Reconocer la función de un pronombre en diversos textos.,0.01832610403305074
Identificar información explícita en un texto literario.,0.017518150439314012
Distinguir el tema central de un texto literario.,0.016692061455167096
mat_2,0.016527230235094496
Inferir características de personajes en narraciones.,0.016314116675114763
* Distinguir el tema central de diversos textos o de parte de estos.,0.016082766082109814
Comprender,0.015914130328239243
Reconocer diversos tipos de textos.,0.015869955438398437
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.014896083879399438
Distinguir el tema central de diversos textos.,0.01356719298614125
Distinguir la idea principal de párrafos de diversos textos.,0.012795578041972367
Reconocer la función de un conector en diversos textos.,0.01232285972618064
Reconocer tipos de textos literarios.,0.012148525022620104
Distinguir el sentimiento que predomina en un poema.,0.011932960845855144
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.011878574185079042
Reconocer tipos de textos no literarios.,0.0117613162934517
Analizar,0.011662263572401759
leng_2,0.01141673483697498
Identificar informaciones en textos no literarios.,0.011309843726869502
0 - Fácil,0.010397137826469659
mat_4,0.0103543666977954
PC3,0.010104821689899148
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.009694983402515952
Inferir función de conectores en una oración.,0.0096766528309152
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.009488364023275148
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.00946195723828533
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.009337718096943311
mat_9,0.00929201396411173
1 - Difícil,0.009281131550588588
Inferir características de personajes principales en narraciones.,0.008869647605046172
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.008483158701442317
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.008461325547217267
Inferir la moraleja de una fábula.,0.0083909460875975
Conocer,0.008376139714142344
leng_6,0.007646100097794176
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.007645558700958463
PC7,0.00742049252929953
Identificar información explícita (datos) en textos no literarios.,0.007273520947455621
student_id,0.006780651527426677
leng_10,0.006773458230386094
leng_4,0.006549557306486759
mat_6,0.006466707538706214
Aplicar,0.006414752739739133
PC2,0.00636403477391567
Inferir el propósito comunicativo de un texto no literario.,0.006297605003497331
Inferir información (hechos) en textos no literarios.,0.006223104677617037
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.006013499881974191
mat_7,0.00601187759433056
1 - Fácil,0.0059621823806117365
Reconocer al emisor en textos no literarios.,0.005935362125351556
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.005732649427078734
Inferir relaciones que permiten comprender el sentido global del texto.,0.005701774586370928
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.005652437734347806
* Atribuir el propósito comunicativo de textos no literarios.,0.0056151228039170225
1 - Mediano,0.005451258222403991
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.005396265335366909
Identificar el orden de los acontecimientos en narraciones.,0.005097921795095044
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.005080486462429416
PC5,0.0049398386369341575
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.00474600177983141
leng_11,0.004638907045969297
leng_12,0.004638907045969229
Distinguir la idea principal de diversos textos.,0.004257383830154624
Crear,0.004131177602216682
Reconocer el destinatario en textos no literarios.,0.00404930344091268
Reconocer la función de ilustraciones en textos no literarios.,0.003825172719271034
leng_5,0.003741669225944847
Atribuir el propósito comunicativo de un texto no literario.,0.0036659210500352094
leng_7,0.0036083593513970913
Identificar acontecimientos en narraciones.,0.0035812153435362745
Inferir el significado de palabras a partir de claves contextuales.,0.0034266022809042334
Identificar información explícita (hechos) en textos no literarios.,0.003147054351628951
PC6,0.003033627245970858
PC1,0.003027709108991416
PC4,0.002610743611197431
