feature,importance
0 - Mediano,0.05779941944265059
mat_7,0.04150209630512511
Inferir el propósito comunicativo de un texto no literario.,0.037602873883535066
mat_1,0.03551452937949965
mat_3,0.03509089060747321
mat_11,0.026837410379562044
mat_12,0.026837410379561735
mat_2,0.02344424406115516
mat_9,0.022603760850918676
Identificar información explícita (hechos) en textos no literarios.,0.01958425787221409
Atribuir el propósito comunicativo de un texto no literario.,0.01888392412556442
Reconocer el destinatario en textos no literarios.,0.018424076561999587
mat_5,0.01810813203896886
Distinguir el tema central de diversos textos.,0.018016089076230125
Inferir relaciones que permiten comprender el sentido global del texto.,0.017753555157457475
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.01710911009097717
mat_10,0.016904549360635623
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.016311705366643017
mat_8,0.01606715644718974
Distinguir la idea principal de diversos textos.,0.014574429567441906
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.01322888704866653
Identificar acontecimientos en narraciones.,0.012949908096035195
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.012509589200335671
Identificar hechos en textos no literarios.,0.012164296796641015
leng_10,0.012084882894235172
* Atribuir el propósito comunicativo de textos no literarios.,0.011815989856425117
student_id,0.011386163547332672
0 - Fácil,0.01089046724708486
0 - Difícil,0.010867357242831112
Identificar informaciones en textos no literarios.,0.010621442949078217
mat_6,0.01040609693060427
Identificar datos de un texto relacionando información explícita.,0.010204911215066156
PC3,0.01013698422152522
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.010089955509671667
Inferir el significado de palabras a partir de claves contextuales.,0.010010942984564035
Reconocer la función de un pronombre en diversos textos.,0.009785120540457382
Conocer,0.009730137464863406
Reconocer la función de adjetivos en diversos textos.,0.009313010217286467
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.00926629664457078
Inferir características de personajes principales en narraciones.,0.009129342181589874
Aplicar,0.009051754170885927
Reconocer al emisor en textos no literarios.,0.008805192126398114
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.008762086505714889
mat_4,0.00868426218811569
PC4,0.00864248266405478
* Distinguir el tema central de diversos textos.,0.008593372394631557
Distinguir el tema central de un texto literario.,0.00807811028570039
1 - Fácil,0.008010166385091295
Reconocer tipos de textos literarios.,0.00792110220461619
Inferir características de personajes en narraciones.,0.007721757539361705
Reconocer la función de ilustraciones en textos no literarios.,0.0071328753720533876
* Distinguir el tema central de diversos textos o de parte de estos.,0.007041613281329548
Analizar,0.007007604940835767
Distinguir el sentimiento que predomina en un poema.,0.006914644875843322
Atribuir el propósito comunicativo de textos no literarios.,0.006672780906710576
Reemplazar conectores según la función que cumplen.,0.0066308423312863764
leng_2,0.006625417866891432
Inferir la moraleja de una fábula.,0.0065920421402982125
Reconocer la función de un conector en diversos textos.,0.00632381721861903
Crear,0.005998949160626632
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.005794542333383168
leng_4,0.005719201644375336
Distinguir la idea principal de párrafos de diversos textos.,0.005697613136061328
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.005531964501772741
Identificar el orden de los acontecimientos en narraciones.,0.0051917391748308225
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.005114509299630545
leng_3,0.005091263082972885
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.0050597560020441005
PC6,0.0050447223620892845
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.005001481386399721
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.004798345191982203
Reconocer la función de sustantivos en diversos textos.,0.004698176701160728
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.004608999211485779
leng_11,0.004475334478061624
leng_12,0.004475334478061537
Comprender,0.004422587396676811
1 - Mediano,0.004208913262347907
leng_8,0.00406819466586039
Inferir información (hechos) en textos no literarios.,0.003977111649886592
Reconocer tipos de textos no literarios.,0.003824715675762507
leng_1,0.003701782799653945
PC7,0.0036162782881156695
1 - Difícil,0.0034129999459382348
leng_5,0.002132129547000471
Evaluar,0.0021068190207807562
leng_6,0.002093874997836947
Inferir función de conectores en una oración.,0.0020604853564677324
PC1,0.0019179536600108633
PC8,0.001882855121097475
leng_9,0.0018328886798456246
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.001826874920046056
leng_7,0.0015720310909558154
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.0014781345925213949
PC5,0.001325581398561282
Distinguir el tema central de diversos textos o de parte de estos.,0.0012672602635501768
PC2,0.0010489187510354025
Identificar información explícita en un texto literario.,0.0008889867804839943
Identificar información explícita (datos) en textos no literarios.,0.0008516042621950489
Reconocer diversos tipos de textos.,0.0007868681640478844
Inferir actitudes de los personajes en narraciones.,0.000618888422275451
* Inferir características de personajes en narraciones.,1.1778732998679812e-16
* Identificar el orden de los acontecimientos en narraciones.,1.0434065073432644e-16
"* Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",7.491195196061076e-17
Identificar las formas básicas propias del discurso expositivo.,5.127041705230585e-17
* Reconocer tipos de textos literarios.,4.973402000929335e-17
"* Identificar información explícita (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",4.0551837034385595e-17
* Reconocer tipos de textos no literarios.,3.991472486265196e-17
Establecer relaciones de correferencia textual.,3.7126387954388025e-17
Inferir relaciones de causa y consecuencia en textos no literarios.,3.4754489173191166e-17
Identificar el par de figuras ubicadas en una cuadrícula que se relacionan mediante una transformación isométrica (traslación).,3.380436229780265e-17
Interpretar lenguaje figurado en un texto literario.,2.637806353375822e-17
Interpretar lenguaje figurado en un texto no literario.,2.6282866677241477e-17
Operar con información presentada en un pictograma sin escala.,2.5917665212698395e-17
Distinguir el tema central en un texto no literario.,2.429019448925471e-17
* Distinguir la idea principal de párrafos de diversos textos.,2.208429130958512e-17
"Inferir el significado de expresiones a partir del contexto, en diversos textos.",2.022735466888013e-17
"* Inferir información (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",1.7704728278045443e-17
Inferir información del texto relacionando ideas explícitas.,1.6360040813133143e-17
Identificar información explícita de un texto.,7.699327521867167e-18
Distinguir el tema central en un texto literario.,6.464381026737907e-18
"Identificar información como datos, hechos e ideas relevantes en diversos textos.",5.8040605713345375e-18
Interpretar lenguaje figurado simple en poemas.,1.7246046547802982e-18
Resolver un problema que requiere plantear y determinar la solución de un sistema de dos ecuaciones de primer grado con dos incógnitas.,4.431640233694765e-31
Relacionar características del espacio narrativo con la acción y los personajes.,1.992019609724487e-31
"Resolver un problema que requiere calcular la probabilidad de un evento, usando el modelo de Laplace.",1.1779098875952676e-31
Resolver un problema que requiere plantear y encontrar la solución de una ecuación de primer grado con una incógnita.,1.0736302350291096e-31
Relacionar secuencia de pasos en textos instructivos.,1.001133677218317e-31
0 - Pendiente,5.807378952382658e-32
