feature,importance
1 - Fácil,0.0633232542211254
leng_10,0.04496790793760166
PC4,0.03082343379319292
1 - Mediano,0.0285643812378775
leng_1,0.024420645633015374
mat_1,0.024363377298413428
leng_5,0.02414977580380458
mat_2,0.023262121047788985
PC2,0.018680077897824818
leng_12,0.018153744906957384
leng_11,0.017951862698230528
mat_4,0.01755705844626212
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.017500213450210012
PC3,0.01698965247076726
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.016878038239757476
Identificar datos de un texto relacionando información explícita.,0.016348625676979884
0 - Mediano,0.015770691908950286
Distinguir el sentimiento que predomina en un poema.,0.015153762492488667
Inferir características de personajes principales en narraciones.,0.014403823141075828
1 - Difícil,0.014039518146940778
Inferir el significado de palabras a partir de claves contextuales.,0.013914224112003347
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.013855779772526378
Identificar el orden de los acontecimientos en narraciones.,0.013764405392915374
leng_8,0.01256483944239914
leng_4,0.012326766635713204
student_id,0.011627315808923469
0 - Fácil,0.011460705682059086
Conocer,0.011229475660082025
0 - Difícil,0.011160953053380728
PC6,0.01111565029633943
Aplicar,0.010968846171744803
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.010887482015357624
Evaluar,0.010840156905927718
mat_8,0.010655013270315115
leng_7,0.01063084526068189
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.010626428898317934
Atribuir el propósito comunicativo de textos no literarios.,0.010260062173594878
Inferir el propósito comunicativo de un texto no literario.,0.010250533265622506
mat_10,0.010100000029705448
Reconocer la función de un conector en diversos textos.,0.009940706357223092
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.009667397036458338
* Distinguir el tema central de diversos textos o de parte de estos.,0.00964162189074606
Inferir la moraleja de una fábula.,0.00959758602369536
PC8,0.009459632504021615
mat_5,0.00942936439667442
PC1,0.008748166996779874
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.008324723416727402
leng_3,0.007732424451911594
Inferir características de personajes en narraciones.,0.007711689417900948
Reconocer la función de sustantivos en diversos textos.,0.0074421195070121455
leng_6,0.0073256552262100415
Identificar información explícita (datos) en textos no literarios.,0.007264641329463894
Inferir relaciones que permiten comprender el sentido global del texto.,0.007257937270925066
leng_2,0.00722174038777752
Identificar hechos en textos no literarios.,0.007131487887776711
Analizar,0.0071030417854348275
Distinguir el tema central de diversos textos.,0.006908870086143952
Identificar información explícita (hechos) en textos no literarios.,0.006522864850742878
* Distinguir el tema central de diversos textos.,0.006289159918436982
Comprender,0.006277330464672524
Distinguir el tema central de un texto literario.,0.0062360281539321685
mat_3,0.00602288312252469
Distinguir la idea principal de párrafos de diversos textos.,0.0059189847682079065
Crear,0.005917400449060988
Inferir función de conectores en una oración.,0.0059134839461797845
mat_7,0.0057625939303955
Reconocer tipos de textos no literarios.,0.0057197419700551234
PC5,0.005703239059556339
Inferir información (hechos) en textos no literarios.,0.0055865734918091525
mat_11,0.005009286715814417
mat_12,0.004967960454690458
Reconocer la función de ilustraciones en textos no literarios.,0.004735803481660644
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.004711172090194704
Identificar información explícita en un texto literario.,0.004686523765049451
Inferir actitudes de los personajes en narraciones.,0.004654709079611297
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.004509306846674784
Identificar acontecimientos en narraciones.,0.004485727610568001
Reconocer el destinatario en textos no literarios.,0.0044666353666014446
Identificar informaciones en textos no literarios.,0.004426229247094986
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.0042170619978215826
Distinguir el tema central de diversos textos o de parte de estos.,0.003751367009774545
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.003707068375867297
PC7,0.003691611323298259
leng_9,0.0035064340179064343
Reconocer diversos tipos de textos.,0.003310007495609931
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.0032315011231986417
mat_9,0.00311862313100365
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.002910173291930108
Reconocer la función de un pronombre en diversos textos.,0.002826176111642713
mat_6,0.0027715265962264582
Reconocer tipos de textos literarios.,0.0026969916984740444
* Atribuir el propósito comunicativo de textos no literarios.,0.0025768631270117466
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.002097204296551222
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.0018610941155099764
Reconocer la función de adjetivos en diversos textos.,0.0014801695403029364
Distinguir la idea principal de diversos textos.,0.0014398643607720916
Atribuir el propósito comunicativo de un texto no literario.,0.001043729548209485
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.0010327856633123654
Reconocer al emisor en textos no literarios.,0.00039701556166696437
Reemplazar conectores según la función que cumplen.,0.0003588365606170862
* Inferir características de personajes en narraciones.,5.549175209254289e-17
"Inferir el significado de expresiones a partir del contexto, en diversos textos.",2.960158724289075e-17
Identificar el par de figuras ubicadas en una cuadrícula que se relacionan mediante una transformación isométrica (traslación).,2.5686917298486408e-17
* Identificar el orden de los acontecimientos en narraciones.,2.3863385601583864e-17
Inferir relaciones de causa y consecuencia en textos no literarios.,2.3060154417430895e-17
"* Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",2.1366258474685576e-17
