feature,importance
0 - Difícil,0.10111699373789748
0 - Mediano,0.03957490992842496
PC3,0.02608870740655587
leng_7,0.025264560002332265
mat_1,0.02304964195909546
mat_10,0.021716855810033346
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.021513961303989797
Inferir características de personajes principales en narraciones.,0.021345712542882114
mat_11,0.01937060848288675
mat_12,0.017165640325637152
leng_1,0.016795474669467375
Inferir actitudes de los personajes en narraciones.,0.016762314077493325
Distinguir el tema central de diversos textos.,0.016728453146903986
mat_2,0.016465141739648022
Distinguir el tema central de un texto literario.,0.015648805113880646
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.015616972759663427
mat_4,0.015004978702988673
Distinguir la idea principal de diversos textos.,0.014888935963942836
Evaluar,0.014522456221304384
mat_5,0.013962365748647561
leng_5,0.013954376360414225
mat_3,0.013627353867530912
leng_10,0.01293041132906729
Identificar hechos en textos no literarios.,0.012756517202950976
Identificar datos de un texto relacionando información explícita.,0.012565993389426681
Reconocer diversos tipos de textos.,0.012411647269433751
leng_2,0.011611962094557723
Reconocer la función de un conector en diversos textos.,0.011416126590891876
Identificar información explícita (datos) en textos no literarios.,0.011236774549323742
Inferir el significado de palabras a partir de claves contextuales.,0.010695287366140007
PC4,0.010626204188341015
Crear,0.010563477334135908
PC6,0.010471477988756125
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.010331387214589283
* Distinguir el tema central de diversos textos.,0.010275258219179278
1 - Fácil,0.010079434306770416
Aplicar,0.010009530821470708
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.009717719756556715
Comprender,0.009308322911184209
mat_8,0.009216742539174566
mat_9,0.008876512040001042
mat_6,0.008785866108667308
leng_6,0.008645280279565917
leng_8,0.008197805758136919
1 - Difícil,0.007880867029577477
1 - Mediano,0.007853240817632081
Distinguir la idea principal de párrafos de diversos textos.,0.007712821233397197
Reconocer al emisor en textos no literarios.,0.007671234191795053
Reconocer el destinatario en textos no literarios.,0.007612147359960495
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.007541333972085971
Distinguir el tema central de diversos textos o de parte de estos.,0.007541259243217647
Inferir relaciones que permiten comprender el sentido global del texto.,0.007374164328411478
Conocer,0.007292163381705273
student_id,0.0069521577958885925
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.006876371969183214
Reconocer tipos de textos no literarios.,0.006739785460519919
Reconocer la función de ilustraciones en textos no literarios.,0.006710531937676719
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.006642800514504017
mat_7,0.006567505601972303
leng_12,0.006539246371425533
leng_11,0.006434773088537919
Identificar acontecimientos en narraciones.,0.006419272103209848
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.006046431383965078
Inferir la moraleja de una fábula.,0.005989344055663537
Identificar informaciones en textos no literarios.,0.005904808781021429
Inferir función de conectores en una oración.,0.005841827204083623
leng_3,0.0057150993769975395
leng_4,0.005668811260179404
Identificar información explícita en un texto literario.,0.005645849013091622
* Distinguir el tema central de diversos textos o de parte de estos.,0.005611791017716937
Inferir características de personajes en narraciones.,0.005401008210403579
Reconocer la función de adjetivos en diversos textos.,0.005121367610099313
Distinguir el sentimiento que predomina en un poema.,0.00507863329309396
Atribuir el propósito comunicativo de textos no literarios.,0.0046993737978756655
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.004621071806438812
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.004540524260202893
Inferir el propósito comunicativo de un texto no literario.,0.004490906905218945
PC2,0.0044092177979811395
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.0042695544333747875
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.004103662273203284
Analizar,0.003983710189294351
leng_9,0.003958183459949182
0 - Fácil,0.003599965132492389
Inferir información (hechos) en textos no literarios.,0.0035598276051738006
Reconocer la función de un pronombre en diversos textos.,0.0034367871045674968
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.003391509445046932
Identificar el orden de los acontecimientos en narraciones.,0.0032351494665921916
* Atribuir el propósito comunicativo de textos no literarios.,0.0030773900544099715
Reconocer la función de sustantivos en diversos textos.,0.003021411473913522
Reconocer tipos de textos literarios.,0.002916995882296388
PC8,0.0026849673244087493
Identificar información explícita (hechos) en textos no literarios.,0.0020762455102199904
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.001819367337836149
PC7,0.0016787673991953468
PC5,0.0014562256653303464
PC1,0.0013338251330751606
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.0009059126252438293
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.0008007726230567626
Atribuir el propósito comunicativo de un texto no literario.,0.0006270685566431331
Establecer relaciones de correferencia textual.,0.0
* Distinguir la idea principal de párrafos de diversos textos.,0.0
0 - Pendiente,0.0
Identificar las formas básicas propias del discurso expositivo.,0.0
Identificar información explícita de un texto.,0.0
* Identificar el orden de los acontecimientos en narraciones.,0.0
Identificar el par de figuras ubicadas en una cuadrícula que se relacionan mediante una transformación isométrica (traslación).,0.0
"* Identificar información explícita (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",0.0
* Inferir características de personajes en narraciones.,0.0
Relacionar secuencia de pasos en textos instructivos.,0.0
Resolver un problema que requiere plantear y encontrar la solución de una ecuación de primer grado con una incógnita.,0.0
* Reconocer tipos de textos literarios.,0.0
Interpretar lenguaje figurado en un texto literario.,0.0
Interpretar lenguaje figurado en un texto no literario.,0.0
Interpretar lenguaje figurado simple en poemas.,0.0
Operar con información presentada en un pictograma sin escala.,0.0
Inferir relaciones de causa y consecuencia en textos no literarios.,0.0
* Reconocer tipos de textos no literarios.,0.0
Inferir información del texto relacionando ideas explícitas.,0.0
"Identificar información como datos, hechos e ideas relevantes en diversos textos.",0.0
Resolver un problema que requiere plantear y determinar la solución de un sistema de dos ecuaciones de primer grado con dos incógnitas.,0.0
Distinguir el tema central en un texto literario.,0.0
"* Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.0
Reemplazar conectores según la función que cumplen.,0.0
Relacionar características del espacio narrativo con la acción y los personajes.,0.0
Distinguir el tema central en un texto no literario.,0.0
"Resolver un problema que requiere calcular la probabilidad de un evento, usando el modelo de Laplace.",0.0
"Inferir el significado de expresiones a partir del contexto, en diversos textos.",0.0
"* Inferir información (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",0.0
