feature,importance
1 - Mediano,0.07071274531432814
leng_4,0.0568229760653083
Distinguir el tema central de diversos textos.,0.030240389869551135
leng_9,0.025006514676435165
Comprender,0.023688600443696015
Identificar información explícita (hechos) en textos no literarios.,0.023589543990423668
Inferir la moraleja de una fábula.,0.020874552606972
mat_5,0.019379630598481686
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.018961945633747774
mat_10,0.018618600455004075
leng_5,0.018137549373643844
student_id,0.017002434660633534
PC4,0.01626592558060469
* Distinguir el tema central de diversos textos.,0.015630776553786453
Identificar información explícita (datos) en textos no literarios.,0.015319339206528166
leng_3,0.015092951717982538
leng_11,0.014380680483670142
mat_2,0.014189873853716489
1 - Fácil,0.013758281077828952
mat_1,0.013609848208037609
leng_12,0.01352289825159149
PC3,0.013314332063097163
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.012498552576892336
Distinguir la idea principal de párrafos de diversos textos.,0.012378222603659186
Distinguir la idea principal de diversos textos.,0.012360554779954134
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.012331955905191505
0 - Fácil,0.011835026346500695
leng_10,0.011809108528273016
Inferir actitudes de los personajes en narraciones.,0.01168328290285124
1 - Difícil,0.011626804563572082
Reconocer diversos tipos de textos.,0.011565867455944463
PC5,0.011119728671312416
leng_6,0.010404170728009678
Inferir características de personajes en narraciones.,0.01023320710517657
Conocer,0.00980569642960626
Distinguir el tema central de diversos textos o de parte de estos.,0.009783866343847855
leng_8,0.009779732643411511
* Distinguir el tema central de diversos textos o de parte de estos.,0.009640596563161661
mat_9,0.009585791094086764
Distinguir el tema central de un texto literario.,0.009524650337789632
Distinguir el sentimiento que predomina en un poema.,0.0093143451500576
Crear,0.00899616990669843
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.008856700961312221
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.008576564390975393
PC8,0.00836562225430172
Reconocer la función de ilustraciones en textos no literarios.,0.008326729754119976
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.008310184733179139
leng_7,0.00814989796685473
leng_1,0.008095511424655673
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.007907801233805004
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.007810639578686174
mat_3,0.0071859747218661375
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.007137658901444841
PC7,0.007004998152542015
Reemplazar conectores según la función que cumplen.,0.006989460481601895
Reconocer el destinatario en textos no literarios.,0.0068866139563275855
mat_8,0.00685281715257716
Inferir características de personajes principales en narraciones.,0.006728811462935768
Atribuir el propósito comunicativo de un texto no literario.,0.006438970419730588
PC6,0.0063833888370242444
0 - Mediano,0.006325949969298972
Evaluar,0.006280453004141353
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.006265447052893383
Atribuir el propósito comunicativo de textos no literarios.,0.006253471840335022
Identificar informaciones en textos no literarios.,0.006202338278762315
Inferir función de conectores en una oración.,0.006090109887141545
PC1,0.0060339902308480225
Reconocer la función de un conector en diversos textos.,0.005791894113619499
mat_7,0.005707683351414963
Reconocer al emisor en textos no literarios.,0.005703852326239714
mat_4,0.005589919029506677
Analizar,0.005535643019894667
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.005501438812471266
leng_2,0.005409730222446057
mat_6,0.005190122033321838
0 - Difícil,0.005115114212240793
Inferir relaciones que permiten comprender el sentido global del texto.,0.005014838933050549
Inferir información (hechos) en textos no literarios.,0.0040876871331809094
