feature,importance
0 - Mediano,0.3621718457413267
mat_1,0.09179380002593758
mat_10,0.06610097140412238
mat_3,0.03160130323137479
mat_12,0.022183946631732537
0 - Fácil,0.01644432436014029
mat_7,0.015118717838063893
mat_11,0.014676957865578754
mat_9,0.014234770872629308
PC8,0.014045121237320761
Inferir actitudes de los personajes en narraciones.,0.013981285687997341
PC4,0.011495261456136004
0 - Difícil,0.011298647173545576
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.010992538229778947
PC3,0.010246368395131948
mat_2,0.009628487008631096
Inferir el propósito comunicativo de un texto no literario.,0.009137514006453204
PC6,0.00890941580879248
mat_5,0.008045807114736219
Inferir función de conectores en una oración.,0.007948213224152222
leng_10,0.007726114092972249
mat_4,0.007173831367588942
mat_6,0.007120619012565117
student_id,0.0068786564569060914
leng_4,0.0065450270861729005
mat_8,0.006487722983127189
Identificar información explícita (hechos) en textos no literarios.,0.006218022153825948
* Distinguir el tema central de diversos textos.,0.005957884247904783
Evaluar,0.005878780831086178
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.005675578384332341
leng_1,0.005235549519844749
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.005218750736561901
PC2,0.005130661694700934
Aplicar,0.004786159441883842
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.00476862040658664
PC7,0.004751191256688098
Distinguir el tema central de diversos textos.,0.004632177719951953
Atribuir el propósito comunicativo de un texto no literario.,0.004447094998605206
PC5,0.004136298034826017
leng_7,0.00406953270265151
leng_2,0.003887949256314579
Analizar,0.0038762067456173136
Distinguir el tema central de diversos textos o de parte de estos.,0.0038453587383031978
Identificar hechos en textos no literarios.,0.0038368134016409333
Reconocer la función de un pronombre en diversos textos.,0.003780119796664539
Conocer,0.003665465039265291
Atribuir el propósito comunicativo de textos no literarios.,0.0035239656143487602
Crear,0.0034996568691079265
Inferir relaciones que permiten comprender el sentido global del texto.,0.0034275943302092453
Reconocer el destinatario en textos no literarios.,0.0033553346181315604
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.0033516181771271313
1 - Fácil,0.0033240113457916076
leng_9,0.003130893989707238
leng_8,0.0031118123575463665
1 - Difícil,0.0030925355085820515
leng_6,0.003005134983578365
PC1,0.002931486523191889
leng_3,0.002886643225995575
1 - Mediano,0.002870533095068916
Distinguir la idea principal de diversos textos.,0.0028626231671553745
Identificar informaciones en textos no literarios.,0.0028295911490269967
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.002829100374061721
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.0028157137280781877
Reconocer al emisor en textos no literarios.,0.002757257876280605
Inferir características de personajes principales en narraciones.,0.002582278641028078
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.0025674804726500125
* Atribuir el propósito comunicativo de textos no literarios.,0.002325933177765235
leng_5,0.002245428017665836
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.0022090624197104846
Reconocer la función de adjetivos en diversos textos.,0.002191587479252298
Comprender,0.002106195389957634
Identificar acontecimientos en narraciones.,0.002089603870897977
Inferir el significado de palabras a partir de claves contextuales.,0.002068380493019945
Reconocer la función de un conector en diversos textos.,0.0020569419087843425
Reconocer tipos de textos no literarios.,0.0019273568356763745
Identificar datos de un texto relacionando información explícita.,0.0018255025865335469
Distinguir el tema central de un texto literario.,0.0018074440794809575
Distinguir el sentimiento que predomina en un poema.,0.001803463704473832
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.0017901267589296751
Reconocer tipos de textos literarios.,0.0017543537081635035
Distinguir la idea principal de párrafos de diversos textos.,0.0017289367546002982
Identificar el orden de los acontecimientos en narraciones.,0.0017075582593981604
Reconocer la función de ilustraciones en textos no literarios.,0.0016906941078598569
Inferir características de personajes en narraciones.,0.0016628923916459227
* Distinguir el tema central de diversos textos o de parte de estos.,0.0015982326753447916
Identificar información explícita (datos) en textos no literarios.,0.0015782924197482767
leng_12,0.0015356856325345243
leng_11,0.0014397537563432252
Inferir información (hechos) en textos no literarios.,0.0014158025188797038
Inferir la moraleja de una fábula.,0.0013894885054184754
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.0013724559840294912
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.0012632099109293748
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.001185895586010302
Reemplazar conectores según la función que cumplen.,0.0010292585159499639
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.001012081730295214
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.0008547078581928403
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.0008273165844379209
Reconocer la función de sustantivos en diversos textos.,0.0007783837441379094
Identificar información explícita en un texto literario.,0.0007211720576941748
Reconocer diversos tipos de textos.,0.00046605110939972614
* Inferir características de personajes en narraciones.,1.8283049121984412e-17
* Identificar el orden de los acontecimientos en narraciones.,1.6195844179584723e-17
"* Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",1.1627896630928753e-17
Identificar las formas básicas propias del discurso expositivo.,7.958237558971741e-18
* Reconocer tipos de textos literarios.,7.719756708684893e-18
"* Identificar información explícita (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",6.2944904903564565e-18
* Reconocer tipos de textos no literarios.,6.19559739944994e-18
Establecer relaciones de correferencia textual.,5.762789382932836e-18
Inferir relaciones de causa y consecuencia en textos no literarios.,5.394621245206498e-18
Identificar el par de figuras ubicadas en una cuadrícula que se relacionan mediante una transformación isométrica (traslación).,5.247141746887003e-18
Interpretar lenguaje figurado en un texto literario.,4.094425362936586e-18
Interpretar lenguaje figurado en un texto no literario.,4.079648826239904e-18
Operar con información presentada en un pictograma sin escala.,4.0229619456016374e-18
Distinguir el tema central en un texto no literario.,3.770344561502282e-18
* Distinguir la idea principal de párrafos de diversos textos.,3.4279424016370317e-18
"Inferir el significado de expresiones a partir del contexto, en diversos textos.",3.1397071235113853e-18
"* Inferir información (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",2.7481429185564527e-18
Inferir información del texto relacionando ideas explícitas.,2.539419391353113e-18
Identificar información explícita de un texto.,1.1950961389847403e-18
Distinguir el tema central en un texto literario.,1.003406698057593e-18
"Identificar información como datos, hechos e ideas relevantes en diversos textos.",9.009111977033184e-19
Interpretar lenguaje figurado simple en poemas.,2.676945951902063e-19
Resolver un problema que requiere plantear y determinar la solución de un sistema de dos ecuaciones de primer grado con dos incógnitas.,6.878829505065207e-32
Relacionar características del espacio narrativo con la acción y los personajes.,3.0920297098704143e-32
"Resolver un problema que requiere calcular la probabilidad de un evento, usando el modelo de Laplace.",1.8283617039786197e-32
Resolver un problema que requiere plantear y encontrar la solución de una ecuación de primer grado con una incógnita.,1.6664979440560349e-32
Relacionar secuencia de pasos en textos instructivos.,1.5539681730035745e-32
0 - Pendiente,9.014262796201514e-33
