feature,importance
0 - Difícil,0.04090469286172148
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.027059911778425493
Inferir características de personajes principales en narraciones.,0.026312448725913047
mat_1,0.025858338865918186
mat_10,0.02430404803346359
leng_7,0.024071078522463905
0 - Mediano,0.023364350356318685
PC3,0.020116090587606793
Inferir actitudes de los personajes en narraciones.,0.019973230797661935
Distinguir el tema central de un texto literario.,0.018563047192096123
mat_11,0.018478105679672265
mat_12,0.018478105679672265
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.01841337124293336
Distinguir la idea principal de diversos textos.,0.018238823241618005
Distinguir el tema central de diversos textos.,0.01815190494298931
mat_2,0.017480786437964347
leng_1,0.016943592061003675
mat_4,0.01691696593483666
mat_5,0.01668683489111537
Identificar datos de un texto relacionando información explícita.,0.015809300848185614
Identificar hechos en textos no literarios.,0.01556934148302279
mat_3,0.015556791422804922
Evaluar,0.015456467937727173
leng_5,0.014967260138096537
Reconocer diversos tipos de textos.,0.014852526075127189
leng_10,0.014534971736534098
Inferir el significado de palabras a partir de claves contextuales.,0.013344645623684526
* Distinguir el tema central de diversos textos.,0.012821703258268145
Crear,0.012657276462798963
Identificar información explícita (datos) en textos no literarios.,0.01241532573141848
Aplicar,0.012373982113231253
PC6,0.011458725770268869
PC4,0.011357009919605742
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.01058100323150842
mat_8,0.010573654069655773
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.010000536731820584
mat_6,0.009789624648955235
leng_8,0.00945420833747136
Reconocer la función de un conector en diversos textos.,0.00944119961823508
Reconocer al emisor en textos no literarios.,0.009282258419313358
Reconocer el destinatario en textos no literarios.,0.00913677020623662
Inferir relaciones que permiten comprender el sentido global del texto.,0.008974336307467941
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.008907464571775072
mat_9,0.008490222375074989
leng_6,0.00842756758637627
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.008247908524593126
Conocer,0.008166102932132603
Identificar acontecimientos en narraciones.,0.008083688405143286
1 - Mediano,0.00803973192392122
Reconocer la función de ilustraciones en textos no literarios.,0.00802303034053611
Distinguir el tema central de diversos textos o de parte de estos.,0.007995756285915631
1 - Difícil,0.00799079017285272
Reconocer tipos de textos no literarios.,0.007725395872245479
leng_11,0.007653635860313719
leng_12,0.007653635860313719
student_id,0.00749982210341408
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.007392532395688771
mat_7,0.007244038528751504
Inferir la moraleja de una fábula.,0.0072329030241086445
leng_2,0.007203411808815957
Identificar información explícita en un texto literario.,0.007051060977892087
Identificar informaciones en textos no literarios.,0.007028015694429166
Inferir función de conectores en una oración.,0.007013350436138704
1 - Fácil,0.006930569471684171
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.006828251282056641
Distinguir la idea principal de párrafos de diversos textos.,0.006656893616893273
Inferir características de personajes en narraciones.,0.006609151200942267
* Distinguir el tema central de diversos textos o de parte de estos.,0.006504655624632848
Reconocer la función de adjetivos en diversos textos.,0.006404821487341232
Distinguir el sentimiento que predomina en un poema.,0.006097898611127248
leng_3,0.006040911352379535
leng_4,0.005816272180366185
Inferir el propósito comunicativo de un texto no literario.,0.005656605542336083
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.005478642729534032
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.005087868938903749
Comprender,0.0049517440620978044
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.004827430101211681
PC2,0.004797172802102088
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.004697180423865587
Atribuir el propósito comunicativo de textos no literarios.,0.004137872809954217
leng_9,0.004077186685631423
Reconocer la función de un pronombre en diversos textos.,0.004071109731793914
