feature,importance
Identificar información explícita (hechos) en textos no literarios.,0.03383158601145426
Distinguir el tema central de diversos textos.,0.03336311780916035
Inferir la moraleja de una fábula.,0.02786830185991994
mat_5,0.026400246947737037
* Relacionar ideas que permiten comprender el sentido global de diversos textos.,0.02519950419978946
leng_5,0.02434952069392194
* Distinguir el tema central de diversos textos.,0.024052729085466334
leng_4,0.023988916051323
Identificar información explícita (datos) en textos no literarios.,0.022455787543863154
Reconocer diversos tipos de textos.,0.02223668500871864
Distinguir la idea principal de diversos textos.,0.02168376199477752
Inferir características de personajes en narraciones.,0.021327099303434058
leng_9,0.020110178627896557
student_id,0.017704947378390404
leng_6,0.016630425643271527
Interpretar información a partir de datos presentados en un gráfico de barra simple.,0.016627047192915665
* Distinguir el tema central de diversos textos o de parte de estos.,0.016127675505072242
mat_10,0.015891052059416974
Inferir el significado de palabras no familiares a partir del contexto en diversos textos.,0.01573976208408938
Distinguir la idea principal de párrafos de diversos textos.,0.015611821070733724
Distinguir el sentimiento que predomina en un poema.,0.015454157625885742
Reemplazar conectores según la función que cumplen.,0.015304791128803731
1 - Mediano,0.015171526970870148
Inferir actitudes de los personajes en narraciones.,0.014720461398515293
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.013837019304328653
"Reconocer un conector que puede reemplazar a otro, sin cambiar el sentido del texto.",0.013141211301261509
Reconocer el destinatario en textos no literarios.,0.013050901703093028
mat_2,0.01295366284577789
Atribuir el propósito comunicativo de un texto no literario.,0.012932396158686006
Reconocer la función de ilustraciones en textos no literarios.,0.012778178549771377
leng_3,0.012547281213691438
Reconocer la función de algunos elementos de las obras dramáticas (acotaciones).,0.012029237867358484
leng_8,0.011946661417570928
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.01171918250366837
Distinguir el tema central de un texto literario.,0.011559574677467556
leng_10,0.011438115169452305
"Inferir el significado de palabras a partir del contexto, en diversos textos.",0.011414346141761907
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.011335391169086472
1 - Difícil,0.011081949136309457
leng_1,0.010776443501139144
leng_11,0.010471091962756814
leng_12,0.010471091962756774
PC4,0.010458585929270525
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.010321400110814968
Identificar informaciones en textos no literarios.,0.01021166397927411
Distinguir el tema central de diversos textos o de parte de estos.,0.010160930219989537
Inferir características de personajes principales en narraciones.,0.010077515443624155
leng_7,0.009963767603725335
Reconocer al emisor en textos no literarios.,0.009883191671669954
Inferir función de conectores en una oración.,0.009765970741472198
Inferir relaciones que permiten comprender el sentido global del texto.,0.009242808426719342
mat_3,0.009042780927658995
mat_1,0.008829944681193202
PC3,0.00860062529445638
Reconocer la función de un conector en diversos textos.,0.00859803945399246
Crear,0.008463052643557154
Identificar acontecimientos en narraciones.,0.007826970805235853
Reconocer la función de un pronombre en diversos textos.,0.007026866592434866
Identificar el orden de los acontecimientos en narraciones.,0.0064164703121134615
Conocer,0.006290165718215421
Identificar información explícita en un texto literario.,0.0059961889185432
Reconocer la función de un verbo regular (modo Indicativo) en diversos textos.,0.005947751667853672
mat_7,0.005871334201359608
* Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.0055677909903474295
Comprender,0.00556024349676856
0 - Mediano,0.005542973112657463
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.005316976489717156
PC8,0.0051798706324093545
Inferir el propósito comunicativo de un texto no literario.,0.0042854515554866315
Reconocer la función de sustantivos en diversos textos.,0.004117706506559794
Reconocer tipos de textos no literarios.,0.004000814987471939
PC5,0.003924817055176665
mat_4,0.003722664304523344
mat_9,0.0035779506004364773
mat_6,0.003331933314835091
mat_12,0.003152567875053102
mat_11,0.003152567875053099
0 - Difícil,0.0030842590316109927
Inferir información (hechos) en textos no literarios.,0.002922953413510952
Atribuir el propósito comunicativo de textos no literarios.,0.002819819107050972
Reconocer tipos de textos literarios.,0.0028035145255100036
Reconocer la función de adjetivos en diversos textos.,0.002630357704900985
leng_2,0.002606073447892474
Identificar datos de un texto relacionando información explícita.,0.0023525055200168676
PC2,0.002313669487833051
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.0019555725036072068
0 - Fácil,0.0019063620210030968
Identificar hechos en textos no literarios.,0.0018635475602642247
Aplicar,0.001843887947227188
Inferir el significado de palabras a partir de claves contextuales.,0.0017707162268573036
Analizar,0.0017189618143364479
PC6,0.001647725122269222
Evaluar,0.001579221820152033
PC7,0.0014124917689837524
"Reconocer la función de ilustraciones, símbolos y pictogramas en textos no literarios.",0.0013944679071627435
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.0013657254291570345
PC1,0.0013027615279000387
mat_8,0.0010365705752595463
1 - Fácil,0.0005175767210638616
* Atribuir el propósito comunicativo de textos no literarios.,0.00038606489539368756
* Identificar el orden de los acontecimientos en narraciones.,1.0533869320640908e-16
Establecer relaciones de correferencia textual.,7.845551593497073e-17
Inferir información del texto relacionando ideas explícitas.,7.83469841547101e-17
* Distinguir la idea principal de párrafos de diversos textos.,5.969200463683963e-17
Interpretar lenguaje figurado en un texto no literario.,4.2520014449284686e-17
"Inferir el significado de expresiones a partir del contexto, en diversos textos.",4.09176202153414e-17
* Reconocer tipos de textos no literarios.,3.884375792573942e-17
Identificar información explícita de un texto.,3.874322342102528e-17
Distinguir el tema central en un texto no literario.,3.671489224467511e-17
Interpretar lenguaje figurado simple en poemas.,2.650491432577779e-17
* Inferir características de personajes en narraciones.,2.5692302794660114e-17
"Identificar información como datos, hechos e ideas relevantes en diversos textos.",2.5129764403116784e-17
* Reconocer tipos de textos literarios.,2.4975877908372818e-17
Distinguir el tema central en un texto literario.,2.2066781014447727e-17
"* Identificar información explícita (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",2.1878057684666377e-17
Inferir relaciones de causa y consecuencia en textos no literarios.,2.1709260212187067e-17
Identificar el par de figuras ubicadas en una cuadrícula que se relacionan mediante una transformación isométrica (traslación).,1.433589387702375e-17
Interpretar lenguaje figurado en un texto literario.,8.90452009694808e-18
Identificar las formas básicas propias del discurso expositivo.,6.481190748517123e-18
"* Inferir información (datos, hechos, personas, lugares, tiempos e ideas) en textos no literarios.",4.592579856806757e-18
Operar con información presentada en un pictograma sin escala.,1.9837784505801152e-18
"* Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",1.1842694486497617e-19
Relacionar secuencia de pasos en textos instructivos.,3.285477752324686e-31
Relacionar características del espacio narrativo con la acción y los personajes.,1.173190358811759e-31
Resolver un problema que requiere plantear y determinar la solución de un sistema de dos ecuaciones de primer grado con dos incógnitas.,8.32897581454772e-32
"Resolver un problema que requiere calcular la probabilidad de un evento, usando el modelo de Laplace.",1.5428016464330803e-32
0 - Pendiente,9.368151901166152e-33
Resolver un problema que requiere plantear y encontrar la solución de una ecuación de primer grado con una incógnita.,2.970685393638187e-35
