feature,importance
0 - Mediano,0.05878280590951505
mat_7,0.041333747370363404
Inferir el propósito comunicativo de un texto no literario.,0.037976248635063936
mat_1,0.03505997600635829
mat_3,0.034749718022259485
mat_11,0.02594046335234632
mat_12,0.02594046335234606
mat_2,0.023081142873498346
mat_9,0.02225835409986647
Identificar información explícita (hechos) en textos no literarios.,0.01931518741402606
Atribuir el propósito comunicativo de un texto no literario.,0.018752451491626253
Reconocer el destinatario en textos no literarios.,0.018285498917023583
Distinguir el tema central de diversos textos.,0.01791525054793163
mat_5,0.01791505439776097
Inferir relaciones que permiten comprender el sentido global del texto.,0.01766268089702537
"Inferir relaciones de finalidad, causa y consecuencia o efecto en narraciones.",0.016936389761177686
mat_10,0.016610318916832262
"Inferir el significado de palabras no familiares a partir del contexto, en diversos textos.",0.0162463181540944
mat_8,0.01607161660052927
Distinguir la idea principal de diversos textos.,0.014409660822497034
Identificar acontecimientos en narraciones.,0.013455223099589781
"Relacionar información (finalidades, causas y consecuencias o efectos) en textos no literarios.",0.013215575738356614
Reconocer un conector que puede reemplazar a otro equivalente sin modificar el sentido del texto.,0.012504256395394382
leng_10,0.012383738437461019
Identificar hechos en textos no literarios.,0.011966480243534099
* Atribuir el propósito comunicativo de textos no literarios.,0.011570297930688292
student_id,0.011438105564761802
0 - Fácil,0.01096833197426327
0 - Difícil,0.010898018199536591
Identificar informaciones en textos no literarios.,0.010435753750782178
mat_6,0.010337878981596087
Identificar datos de un texto relacionando información explícita.,0.010330063979227344
PC3,0.010132534667568173
Inferir el significado de palabras a partir de claves contextuales.,0.010051088395019824
Conocer,0.010002194610815219
Resolver un problema que requiere multiplicar un número natural por un número decimal positivo.,0.00988759185633775
Reconocer la función de un pronombre en diversos textos.,0.009734513415531457
Reconocer la función de adjetivos en diversos textos.,0.009361433901370862
Relacionar ideas relevantes a partir de información explícita en diversos textos.,0.009302516442724562
Aplicar,0.009046370398326764
Inferir características de personajes principales en narraciones.,0.009028178062630223
mat_4,0.008750601322803933
Reconocer al emisor en textos no literarios.,0.00866162249853177
Inferir relaciones que permiten comprender el sentido global de diversos textos.,0.0085869217486667
* Distinguir el tema central de diversos textos.,0.008563233717229238
PC4,0.008535774911091759
1 - Fácil,0.008533575805240312
Distinguir el tema central de un texto literario.,0.008529510268899063
Reconocer tipos de textos literarios.,0.008108011277275014
Inferir características de personajes en narraciones.,0.007699544255802069
Analizar,0.007569189922304479
* Distinguir el tema central de diversos textos o de parte de estos.,0.007071492135872455
Reconocer la función de ilustraciones en textos no literarios.,0.007069234841681689
Distinguir el sentimiento que predomina en un poema.,0.0068207670340785275
Reemplazar conectores según la función que cumplen.,0.006622222107569732
